2025-09-23 17:29:26 | ERROR | upay.db | MongoDB connection failed: localhost:27017: [Errno 61] Connection refused (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 2.0s, Topology Description: <TopologyDescription id: 68d28b9bf510eee5d3910511, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [Errno 61] Connection refused (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-09-23 18:35:37 | INFO | upay.db | Connected to MongoDB at mongodb://localhost:27017
2025-09-23 18:51:34 | INFO | upay.db | Connected to MongoDB at mongodb://localhost:27017
2025-09-23 19:13:27 | INFO | upay.db | Connected to MongoDB at mongodb://localhost:27017
2025-09-23 19:13:51 | INFO | upay.db | Inserted new message 68d2a417385b3131c6cd57e8 from website
2025-09-23 19:13:51 | INFO | upay.db | Updated result for 68d2a417385b3131c6cd57e8 => Mediate
2025-09-23 19:14:03 | INFO | upay.db | Inserted new message 68d2a423385b3131c6cd57e9 from website
2025-09-23 19:14:03 | INFO | upay.db | Updated result for 68d2a423385b3131c6cd57e9 => Mediate
2025-09-23 19:14:10 | INFO | upay.db | Inserted new message 68d2a42a385b3131c6cd57ea from website
2025-09-23 19:14:10 | INFO | upay.db | Updated result for 68d2a42a385b3131c6cd57ea => Not Fraud
2025-09-23 19:14:23 | INFO | upay.db | Inserted new message 68d2a437385b3131c6cd57eb from website
2025-09-23 19:14:23 | INFO | upay.db | Updated result for 68d2a437385b3131c6cd57eb => Not Fraud
2025-09-23 19:14:32 | INFO | upay.db | Inserted new message 68d2a440385b3131c6cd57ec from website
2025-09-23 19:14:32 | INFO | upay.db | Updated result for 68d2a440385b3131c6cd57ec => Mediate
2025-09-23 19:41:35 | INFO | upay.db | Connected to MongoDB at mongodb://localhost:27017
2025-09-23 19:41:50 | INFO | upay.db | Inserted new message 68d2aaa642e3d18117613d24 from website
2025-09-23 19:41:50 | INFO | upay.db | Updated result for 68d2aaa642e3d18117613d24 => Not Fraud
2025-09-23 19:42:00 | INFO | upay.db | Inserted new message 68d2aab042e3d18117613d25 from website
2025-09-23 19:42:00 | INFO | upay.db | Updated result for 68d2aab042e3d18117613d25 => Not Fraud
2025-09-23 19:42:10 | INFO | upay.db | Inserted new message 68d2aaba42e3d18117613d26 from website
2025-09-23 19:42:10 | INFO | upay.db | Updated result for 68d2aaba42e3d18117613d26 => Mediate
2025-09-23 19:43:05 | INFO | upay.db | Inserted new message 68d2aaf142e3d18117613d27 from website
2025-09-23 19:43:05 | INFO | upay.db | Updated result for 68d2aaf142e3d18117613d27 => Not Fraud
